	word	sentiment	sentiment_average
538	window	0	0
539	overhaul	0	0
540	thrust	0	0
541	ship	0	0
542	experienc	0	0
543	son	0	0
544	switch	0	0
545	incid	0.011	0.001571429
546	mitig	0.0114	0.0057
547	free	0.0156	0.0039
548	ethiopian	0.0177	0.0059
549	abil	0.0179	0.00895
550	term	0.0194	0.006466667
551	wake	0.0231	0.00462
552	odd	0.0236	0.0059
553	choos	0.0258	0.0129
554	phone	0.0258	0.0086
555	loos	0.0307	0.01535
556	withstand	0.0442	0.014733333
557	depriv	0.055	0.0275
558	level	0.0566	0.008085714
559	stick	0.0601	0.020033333
560	come	0.0639	0.003363158
561	loud	0.0644	0.0161
562	addit	0.0644	0.0322
563	oxygen	0.0644	0.0322
564	cold	0.0674	0.009628571
565	alon	0.0682	0.0341
566	bother	0.0693	0.0099
567	rarer	0.0772	0.0772
568	militari	0.0831	0.04155
569	lift	0.0851	0.028366667
570	travel	0.087	0.0174
571	abl	0.0993	0.01655
572	successfulli	0.1027	0.05135
573	take-off	0.1123	0.02246
574	game	0.1143	0.01905
575	skill	0.1186	0.02965
576	shock	0.1191	0.05955
577	centr	0.1379	0.06895
578	instinct	0.1406	0.0703
579	soon	0.1472	0.0368
580	third	0.1531	0.07655
581	follow	0.157	0.052333333
582	trick	0.1575	0.07875
583	huge	0.1651	0.08255
584	extrem	0.1744	0.0872
585	cultur	0.1759	0.058633333
586	side	0.179	0.0895
587	hv	0.1853	0.09265
588	imag	0.1861	0.09305
589	backup	0.1897	0.0271
590	requir	0.1908	0.03816
591	foreman	0.1909	0.063633333
592	grit	0.1912	0.0956
593	hard	0.1933	0.017572727
594	prevent	0.196	0.098
595	nearli	0.199	0.066333333
596	crossword	0.2023	0.10115
597	black	0.2036	0.067866667
598	mani	0.2055	0.008934783
599	helicopt	0.2124	0.1062
600	event	0.2156	0.02156
601	concern	0.2157	0.04314
602	degre	0.2193	0.054825
603	emotion	0.2247	0.11235
604	rest	0.2251	0.056275
605	drastic	0.2263	0.11315
606	sort	0.2315	0.033071429
607	TRUE	0.2404	0.0601
608	therapist	0.2448	0.04896
609	seatbelt	0.2459	0.081966667
610	altitud	0.248	0.0248
611	aviat	0.2531	0.016873333
612	limit	0.2723	0.090766667
613	minimum	0.2732	0.1366
614	distanc	0.2732	0.1366
615	busi	0.2751	0.0393
616	honest	0.2763	0.13815
617	music	0.2806	0.040085714
618	practic	0.2901	0.072525
619	spectacular	0.2907	0.14535
620	atmospher	0.2916	0.1458
621	cruis	0.2938	0.026709091
622	wind	0.2964	0.0741
623	slim	0.3003	0.15015
624	recommend	0.305	0.1525
625	meet	0.3077	0.15385
626	idea	0.3098	0.051633333
627	otherwis	0.3148	0.1574
628	town	0.3164	0.105466667
629	listen	0.3169	0.052816667
630	lean	0.3182	0.106066667
631	report	0.3182	0.07955
632	destin	0.3267	0.06534
633	ey	0.3369	0.048128571
634	checklist	0.3382	0.056366667
635	either	0.3389	0.16945
636	liter	0.34	0.17
637	doctor	0.3479	0.0497
638	fast	0.3502	0.116733333
639	fix	0.3507	0.03507
640	step	0.3533	0.17665
641	aisl	0.3629	0.120966667
642	roll	0.3651	0.1217
643	do	0.3671	0.061183333
644	less	0.374	0.031166667
645	convers	0.3746	0.124866667
646	form	0.3802	0.126733333
647	techniqu	0.3819	0.19095
648	stuff	0.3843	0.0549
649	wife	0.3911	0.097775
650	unknown	0.3914	0.1957
651	strength	0.3981	0.19905
652	prepar	0.4019	0.133966667
653	load	0.4086	0.1362
654	divan	0.4171	0.08342
655	avail	0.4215	0.1405
656	tip	0.4265	0.0853
657	return	0.4366	0.145533333
658	appropri	0.4383	0.109575
659	hire	0.4404	0.4404
660	safer	0.4406	0.146866667
661	repetit	0.4463	0.22315
662	intern	0.4463	0.111575
663	approv	0.4473	0.22365
664	explan	0.4483	0.22415
665	primit	0.4522	0.2261
666	thru	0.4522	0.150733333
667	somewher	0.4526	0.2263
668	handl	0.4538	0.11345
669	due	0.4614	0.065914286
670	option	0.4626	0.11565
671	updat	0.4641	0.1547
672	solac	0.4659	0.23295
673	breath	0.4755	0.067928571
674	interfer	0.4767	0.23835
675	jembl	0.4767	0.1589
676	subsystem	0.4767	0.23835
677	child	0.4935	0.1645
678	perform	0.4939	0.24695
679	discuss	0.4939	0.24695
680	map	0.4939	0.24695
681	sail	0.4939	0.24695
682	background	0.4939	0.24695
683	drug	0.4977	0.09954
684	cockpit	0.503	0.12575
685	build	0.5039	0.10078
686	machin	0.5095	0.25475
687	describ	0.5098	0.2549
688	chanc	0.5181	0.022526087
689	attend	0.5294	0.035293333
690	stall	0.5307	0.044225
691	holidai	0.5364	0.2682
692	hijack	0.5413	0.27065
693	refram	0.5465	0.182166667
694	lotteri	0.5508	0.1836
695	young	0.5567	0.079528571
696	opposit	0.5621	0.187366667
697	increas	0.5659	0.141475
698	slowli	0.5719	0.28595
699	coutur	0.5719	0.28595
700	convinc	0.5798	0.2899
701	groggi	0.5801	0.193366667
702	yep	0.592	0.296
703	view	0.5958	0.1986
704	descent	0.5994	0.2997
705	activ	0.6006	0.2002
706	outsid	0.6029	0.30145
707	arriv	0.6106	0.203533333
708	pm	0.6114	0.3057
709	episod	0.6117	0.30585
710	valium	0.6124	0.3062
711	mainlin	0.6124	0.3062
712	equal	0.6142	0.3071
713	pad	0.6167	0.205566667
714	set	0.6184	0.1546
715	maintain	0.6213	0.155325
716	finger	0.63	0.63
717	muscl	0.63	0.63
718	thumb	0.63	0.63
719	index	0.63	0.63
720	effect	0.6342	0.2114
721	research	0.6364	0.1591
722	repeat	0.6373	0.212433333
723	shuttl	0.6395	0.31975
724	speed	0.6403	0.106716667
725	inspect	0.6478	0.080975
726	brilliant	0.6526	0.3263
727	familiar	0.6542	0.3271
728	investig	0.6567	0.13134
729	ensur	0.6581	0.164525
730	compani	0.6652	0.3326
731	offic	0.6696	0.3348
732	prescrib	0.675	0.135
733	wing	0.6803	0.056691667
734	comment	0.6808	0.3404
735	ahead	0.6846	0.2282
736	resist	0.6879	0.34395
737	angl	0.6897	0.172425
738	previou	0.6908	0.3454
739	home	0.6965	0.04975
740	readi	0.7023	0.35115
741	aluminum	0.7096	0.236533333
742	necessari	0.7178	0.3589
743	grow	0.7195	0.179875
744	decid	0.7269	0.2423
745	remain	0.74	0.37
746	procedur	0.7457	0.106528571
747	therapi	0.7461	0.12435
748	mechan	0.7482	0.18705
749	whole	0.7548	0.068618182
750	matter	0.7604	0.09505
751	pill	0.762	0.381
752	speak	0.7706	0.19265
753	critic	0.7708	0.1927
754	ever	0.7783	0.070754545
755	bo	0.7811	0.260366667
756	water	0.8001	0.16002
757	clearli	0.8016	0.2672
758	surround	0.8047	0.268233333
759	slow	0.8185	0.272833333
760	emot	0.82	0.117142857
761	care	0.8225	0.274166667
762	school	0.8227	0.41135
763	aspect	0.8234	0.274466667
764	call	0.8266	0.118085714
765	headphon	0.8378	0.4189
766	modern	0.843	0.281
767	percept	0.8449	0.42245
768	smooth	0.8512	0.283733333
769	boat	0.8551	0.285033333
770	encourag	0.8595	0.42975
771	potenti	0.8613	0.215325
772	class	0.8642	0.288066667
773	sleep	0.8676	0.10845
774	note	0.8678	0.4339
775	pass	0.8772	0.4386
776	suppos	0.8826	0.22065
777	redund	0.8857	0.126528571
778	airspac	0.8858	0.4429
779	explain	0.8869	0.1267
780	major	0.8894	0.148233333
781	ridicul	0.8901	0.2967
782	rationalis	0.8908	0.4454
783	easi	0.8937	0.44685
784	consid	0.899	0.149833333
785	session	0.8998	0.4499
786	glad	0.9039	0.45195
787	lifetim	0.9125	0.45625
788	head	0.9127	0.070207692
789	quit	0.9146	0.22865
790	citi	0.9154	0.22885
791	australia	0.9249	0.46245
792	advanc	0.94	0.47
793	comfort	0.9408	0.1568
794	asleep	0.9433	0.235825
795	period	0.949	0.4745
796	medit	0.9513	0.3171
797	give	0.9527	0.06805
798	oper	0.954	0.136285714
799	hold	0.9634	0.19268
800	unforgiv	0.9656	0.4828
801	least	0.9673	0.080608333
802	remedi	0.986	0.493
803	creat	0.9864	0.140914286
804	night	0.9871	0.246775
805	gain	0.9898	0.329933333
806	enough	0.9946	0.090418182
807	cheer	1.0022	0.5011
808	profession	1.0142	0.338066667
809	countri	1.0213	0.340433333
810	laugh	1.0353	0.51765
811	drink	1.0422	0.1737
812	surpris	1.0429	0.52145
813	analysi	1.0505	0.52525
814	lightn	1.0565	0.352166667
815	expens	1.0625	0.354166667
816	anytim	1.069	0.5345
817	capabl	1.0714	0.357133333
818	stand	1.0798	0.5399
819	talk	1.0811	0.077221429
820	next	1.0819	0.063641176
821	room	1.0825	0.54125
822	work	1.084	0.030971429
823	insight	1.0881	0.54405
824	earli	1.0933	0.54665
825	nice	1.108	0.369333333
826	condit	1.111	0.185166667
827	oxytocin	1.1282	0.5641
828	share	1.1354	0.28385
829	beauti	1.1392	0.5696
830	standard	1.1393	0.189883333
831	zero	1.1411	0.285275
832	method	1.1449	0.57245
833	plai	1.1547	0.3849
834	bu	1.1603	0.165757143
835	app	1.1698	0.5849
836	mean	1.1735	0.061763158
837	appreci	1.1742	0.5871
838	agre	1.1778	0.5889
839	style	1.1813	0.59065
840	strong	1.1925	0.298125
841	futur	1.2022	0.6011
842	add	1.2041	0.301025
843	flightawar	1.206	0.603
844	actual	1.208	0.04832
845	benadryl	1.2118	0.6059
846	highli	1.2337	0.308425
847	prai	1.2458	0.31145
848	door	1.2509	0.62545
